thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],[1.8846286090010835],['target'],0,0,0,0,0.062484051999490475,,5,0.04088838800089434,0.062484051999490475,0.062484051999490475,0.04058486599751632,1.9259990450009354,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],[1.8846286090010835],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
1,0,1,[-0.13],[-0.21833333333333332],[1],[0],[0],[1.26102569700015],['target'],1,0,1,0,1.9544039579996024,,5,1.942372476998571,1.9544039579996024,1.9544039579996024,0.016166049001185456,3.2038930550006626,[-0.13],[-0.21833333333333332],[1],[0],[0],[1.26102569700015],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
2,0,2,[0.44166666666666665],[-0.39],[1],[0],[0],[2.16717051500018],['target'],2,0,2,0,3.2477190509998763,,10,3.2330123009996896,3.2477190509998763,3.2477190509998763,0.028924168000230566,5.400755464001122,[0.44166666666666665],[-0.39],[1],[0],[0],[2.16717051500018],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
3,0,3,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],[4.072226131000207],['target'],3,0,3,0,5.427682736000861,,5,5.417674135998823,5.427682736000861,5.427682736000861,0.016745191998779774,9.490345136000542,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],[4.072226131000207],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
4,0,4,[-0.3933333333333333],[0.025],[1],[0],[0],[1.7228086490031274],['target'],4,0,4,0,9.53286405399922,,10,9.517723649998516,9.53286405399922,9.53286405399922,0.027246923997154227,11.240932019001775,[-0.3933333333333333],[0.025],[1],[0],[0],[1.7228086490031274],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
5,0,5,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],[1.5397556040006748],['target'],5,0,5,0,11.266457650999655,,5,11.255839886998729,11.266457650999655,11.266457650999655,0.01474993500232813,12.79602368400083,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],[1.5397556040006748],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
6,0,6,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],[3.289866275001259],['target'],6,0,6,0,12.839037276000454,,10,12.824122055000771,12.839037276000454,12.839037276000454,0.027969293001660844,16.114395447999414,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],[3.289866275001259],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
7,0,7,[0.13333333333333333],[-0.13],[1],[0],[0],[1.874093416998221],['target'],7,0,7,0,16.140411604999827,,5,16.130030986998463,16.140411604999827,16.140411604999827,0.015478264998819213,18.004568658001517,[0.13333333333333333],[-0.13],[1],[0],[0],[1.874093416998221],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
8,0,8,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],[2.2974378229992],['target'],8,0,8,0,18.028621135999856,,5,18.0190638210006,18.028621135999856,18.028621135999856,0.014361413999722572,20.316906233998452,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],[2.2974378229992],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
9,0,9,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],[2.125863830002345],['target'],9,0,9,0,20.34155268199902,,5,20.331677012,20.34155268199902,20.34155268199902,0.014643075999629218,22.458118307000404,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],[2.125863830002345],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
