word_study,thisN,thisTrialN,thisRepN,slider.response,slider.rt,word_practice,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,0,0,0,2.0,1.9362968300010834,,,,,,,,,,,,0,0,0,5,,,,,0.07800505100021837,,0.02592753000135417,0.07800505100021837,0.07800505100021837,1.9825807020024513,2.0,1.9362968300010834,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
cushion,1,1,0,2.0,1.3034237529973325,,,,,,,,,,,,0,1,1,3,,,,,2.009414485000889,,1.9903237870021258,2.009414485000889,2.009414485000889,3.3154952810000395,2.0,1.3034237529973325,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
cake,2,2,0,1.0,1.9644516850021319,,,,,,,,,,,,0,2,2,7,,,,,3.3422181400019326,,3.322669331002544,3.3422181400019326,3.3422181400019326,5.307982310001535,1.0,1.9644516850021319,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
pastry,3,3,0,2.9955555555555557,1.294290940000792,,,,,,,,,,,,0,3,3,6,,,,,5.335596170003555,,5.316299933001574,5.335596170003555,5.335596170003555,6.631192129003466,2.9955555555555557,1.294290940000792,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
tiger,4,4,0,1,1.8529054329992505,,,,,,,,,,,,0,4,4,1,,,,,6.660991547003505,,6.640675867001846,6.660991547003505,6.660991547003505,8.51522594600101,1,1.8529054329992505,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
piano ,5,5,0,1,1.0695575729987468,,,,,,,,,,,,0,5,5,4,,,,,8.542323429002863,,8.521998266001901,8.542323429002863,8.542323429002863,9.609728724000888,1,1.0695575729987468,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
police,6,6,0,3.9955555555555557,1.545954092998727,,,,,,,,,,,,0,6,6,13,,,,,9.630378391000704,,9.612931910000043,9.630378391000704,9.630378391000704,11.17989912500343,3.9955555555555557,1.545954092998727,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
chart,7,7,0,2.022222222222222,1.2252711479995924,,,,,,,,,,,,0,7,7,14,,,,,11.205524104003416,,11.185268167002505,11.205524104003416,11.205524104003416,12.4311443100014,2.022222222222222,1.2252711479995924,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
marble,8,8,0,1,1.3762947310024174,,,,,,,,,,,,0,8,8,12,,,,,12.454531835002854,,12.43537816800017,12.454531835002854,12.454531835002854,13.831187461000809,1,1.3762947310024174,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
poster,9,9,0,2.9955555555555557,1.7843830689998867,,,,,,,,,,,,0,9,9,10,,,,,13.856600166000135,,13.836176486001932,13.856600166000135,13.856600166000135,15.64067846600301,2.9955555555555557,1.7843830689998867,,,,,,,,,,,,,,,690518,001,2024-10-28_19h25.34.575,WordPriming Experiment,2024.2.1,59.06319814199248,2024-10-28 19h25.43.174388 +0530,
