reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,2.1565204590006033,None,0,0,0,5,0.07223835498734843,,0.05939103299169801,0.07223835498734843,1.0097340399952373,1.0097340399952373,1.079130633996101,3.194926675991155,t,2.1565204590006033,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
15,35,13,1,1,0,l,2.807597730003181,None,0,1,1,1,3.2200040019961307,,3.199776245994144,3.2200040019961307,4.187754220998613,4.187754220998613,4.229756911998265,6.999351721999119,l,2.807597730003181,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
27,50,21,2,2,0,l,3.039801039005397,None,0,2,2,2,7.018638483990799,,7.006912208991707,7.018638483990799,7.995662062996416,7.995662062996416,8.015008984992164,11.039417739986675,l,3.039801039005397,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
40,55,62,3,3,0,t,1.9776266909902915,None,0,3,3,3,11.060950404993491,,11.046525749989087,11.060950404993491,12.036962730999221,12.036962730999221,12.053680489989347,14.03226220999204,t,1.9776266909902915,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
11,30,7,4,4,0,l,3.077436569990823,None,0,4,4,0,14.049767253993195,,14.038586181995925,14.049767253993195,15.030036797994399,15.030036797994399,15.049064148988691,18.115835626987973,l,3.077436569990823,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
78,80,162,5,5,0,t,1.6172183330054395,None,0,5,5,6,18.132912245986518,,18.12141678199987,18.132912245986518,19.113252836992615,19.113252836992615,19.12980401299137,20.74824346198875,t,1.6172183330054395,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
49,60,89,6,6,0,t,1.5662655040068785,None,0,6,6,4,20.762506529994425,,20.752611602991237,20.762506529994425,21.761818222992588,21.761818222992588,21.779540244999225,23.332984359993134,t,1.5662655040068785,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
67,75,119,7,0,1,l,1.9227216099970974,None,1,0,7,5,23.348693679989083,,23.337101735000033,23.348693679989083,24.32903086199076,24.32903086199076,24.34591276399442,26.258256260989583,l,1.9227216099970974,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
40,55,62,8,1,1,l,1.7947845890012104,None,1,1,8,3,26.274397031986155,,26.263430537990644,26.274397031986155,27.25265364999359,27.25265364999359,27.27054720898741,29.0559742559999,l,1.7947845890012104,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
15,35,13,9,2,1,l,2.5176785880030366,None,1,2,9,1,29.071397032996174,,29.061877322994405,29.071397032996174,30.05268903799879,30.05268903799879,30.070135509988177,32.57375778899586,l,2.5176785880030366,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
11,30,7,10,3,1,l,1.8144533039885573,None,1,3,10,0,32.59012248998624,,32.57933230299386,32.59012248998624,33.5712984540005,33.5712984540005,33.59546525598853,35.396414920993266,l,1.8144533039885573,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
78,80,162,11,4,1,t,1.2736292710033013,None,1,4,11,6,35.409701426993706,,35.3994709289982,35.409701426993706,36.39520884498779,36.39520884498779,36.402862286995514,37.673427115994855,t,1.2736292710033013,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
49,60,89,12,5,1,t,3.000749759012251,None,1,5,12,4,37.68821362699964,,37.67868493999413,37.68821362699964,38.66925553898909,38.66925553898909,38.68649761599954,41.68068329599919,t,3.000749759012251,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
27,50,21,13,6,1,l,4.110205001998111,None,1,6,13,2,41.69642699199903,,41.68588855800044,41.69642699199903,42.6790344369947,42.6790344369947,42.68763623399718,46.81506011499732,l,4.110205001998111,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
67,75,119,14,0,2,t,5.693085047008935,None,2,0,14,5,46.832109412993304,,46.820640345991706,46.832109412993304,47.81203965799068,47.81203965799068,47.830800487994566,53.51471874999697,t,5.693085047008935,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
27,50,21,15,1,2,l,1.5038781740004197,None,2,1,15,2,53.53027988800022,,53.52003838098608,53.53027988800022,54.51263747698977,54.51263747698977,54.52188973699231,56.023453201996745,l,1.5038781740004197,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
11,30,7,16,2,2,l,1.6806531579932198,None,2,2,16,0,56.03922844000044,,56.02837043799809,56.03922844000044,57.02048255498812,57.02048255498812,57.045388189988444,58.70578539399139,l,1.6806531579932198,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
15,35,13,17,3,2,l,1.2378991450095782,None,2,3,17,1,58.72188626899151,,58.71087822999107,58.72188626899151,59.702683010997134,59.702683010997134,59.71980302500015,60.94775325599767,l,1.2378991450095782,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
40,55,62,18,4,2,t,1.2688758059957763,None,2,4,18,3,60.963357503991574,,60.95261808199575,60.963357503991574,61.9449860839959,61.9449860839959,61.97801325599721,63.218093260991736,t,1.2688758059957763,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
78,80,162,19,5,2,t,1.8677625720010838,None,2,5,19,6,63.23332362799556,,63.22283793598763,63.23332362799556,64.2117042389873,64.2117042389873,64.22976517499774,66.0826088419999,t,1.8677625720010838,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
49,60,89,20,6,2,t,2.568442962001427,None,2,6,20,4,66.10155594199023,,66.08869137299189,66.10155594199023,67.07814193499507,67.07814193499507,67.11119443099597,69.65804366099474,t,2.568442962001427,None,216036,001,2024-11-16_12h54.19.427,DelayDiscountingExperiment,2024.2.1,80.52199640290294,2024-11-16 12h54.33.110585 +0530,
