thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.08666666666666667],[-0.12666666666666668],[1],[0],[0],[1.5384286669977882],['target'],0,0,0,0,0.07732025099903694,,10,0.054925418000493664,0.07732025099903694,0.07732025099903694,0.05458725400239928,1.5937600370016298,[-0.08666666666666667],[-0.12666666666666668],[1],[0],[0],[1.5384286669977882],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
1,0,1,[0.395],[0.008333333333333333],[1],[0],[0],[2.9170099910006684],['target'],1,0,1,0,1.6359306990016194,,10,1.6229618770012166,1.6359306990016194,1.6359306990016194,0.029016043998126406,4.540593898000225,[0.395],[0.008333333333333333],[1],[0],[0],[2.9170099910006684],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
2,0,2,[-0.12833333333333333],[0.2833333333333333],[1],[0],[0],[1.3339319660008186],['target'],2,0,2,0,4.582516972001031,,10,4.569131033000303,4.582516972001031,4.582516972001031,0.028376758000376867,5.903536878002342,[-0.12833333333333333],[0.2833333333333333],[1],[0],[0],[1.3339319660008186],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
3,0,3,[-0.21166666666666667],[-0.021666666666666667],[1],[0],[0],[1.3408190709997143],['target'],3,0,3,0,5.945131709999259,,10,5.930999058000452,5.945131709999259,5.945131709999259,0.027272708000964485,7.272217579000426,[-0.21166666666666667],[-0.021666666666666667],[1],[0],[0],[1.3408190709997143],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
4,0,4,[0.335],[0.265],[1],[0],[0],[1.4962106159982795],['target'],4,0,4,0,7.312476777002303,,10,7.2990827550020185,7.312476777002303,7.312476777002303,0.026694038999266922,8.795892043999629,[0.335],[0.265],[1],[0],[0],[1.4962106159982795],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
5,0,5,[0.07166666666666667],[0.15],[1],[0],[0],[1.1869697889997042],['target'],5,0,5,0,8.836413411001558,,10,8.823248916000011,8.836413411001558,8.836413411001558,0.027185409002413508,10.010881631002121,[0.07166666666666667],[0.15],[1],[0],[0],[1.1869697889997042],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
6,0,6,[0.44666666666666666],[-0.415],[1],[0],[0],[1.891536831000849],['target'],6,0,6,0,10.038981671001238,,5,10.02787213800184,10.038981671001238,10.038981671001238,0.016833982001116965,11.91978970800119,[0.44666666666666666],[-0.415],[1],[0],[0],[1.891536831000849],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
7,0,7,[0.32666666666666666],[0.3283333333333333],[1],[0],[0],[2.360515001000749],['target'],7,0,7,0,11.960353319002024,,10,11.946600336999836,11.960353319002024,11.960353319002024,0.026676915000280133,14.307569306001824,[0.32666666666666666],[0.3283333333333333],[1],[0],[0],[2.360515001000749],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
8,0,8,[-0.18833333333333332],[-0.44666666666666666],[1],[0],[0],[1.5902590850018896],['target'],8,0,8,0,14.331279920999805,,5,14.321322727002553,14.331279920999805,14.331279920999805,0.013567869002145017,15.91199196800153,[-0.18833333333333332],[-0.44666666666666666],[1],[0],[0],[1.5902590850018896],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
9,0,9,[-0.48333333333333334],[-0.14],[1],[0],[0],[1.4948393550002947],['target'],9,0,9,0,15.951517008001247,,10,15.93850584699976,15.951517008001247,15.951517008001247,0.026391954001155682,17.43387549199906,[-0.48333333333333334],[-0.14],[1],[0],[0],[1.4948393550002947],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
10,0,10,[0.185],[0.25666666666666665],[1],[0],[0],[1.3829136540007312],['target'],10,0,10,0,17.473894475002453,,10,17.461056811000162,17.473894475002453,17.473894475002453,0.02700210100010736,18.844352351999987,[0.185],[0.25666666666666665],[1],[0],[0],[1.3829136540007312],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
11,0,11,[-0.2633333333333333],[-0.39],[1],[0],[0],[1.8561350290001428],['target'],11,0,11,0,18.869281481001963,,5,18.859460272000433,18.869281481001963,18.869281481001963,0.014933351998479338,20.716091973001312,[-0.2633333333333333],[-0.39],[1],[0],[0],[1.8561350290001428],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
12,0,12,[-0.41333333333333333],[0.36666666666666664],[1],[0],[0],[1.8590076770015003],['target'],12,0,12,0,20.74018319500101,,5,20.730608031000884,20.74018319500101,20.74018319500101,0.01439240300169331,22.590177230002155,[-0.41333333333333333],[0.36666666666666664],[1],[0],[0],[1.8590076770015003],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
13,0,13,[0.23166666666666666],[-0.22166666666666668],[1],[0],[0],[2.219319916999666],['target'],13,0,13,0,22.63184946199908,,10,22.617944218000048,22.63184946199908,22.63184946199908,0.02747417900172877,24.837713084001734,[0.23166666666666666],[-0.22166666666666668],[1],[0],[0],[2.219319916999666],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
14,0,14,[0.18666666666666668],[-0.14],[1],[0],[0],[1.0389101799992204],['target'],14,0,14,0,24.861617004000436,,5,24.851841969000816,24.861617004000436,24.861617004000436,0.013968903000204591,25.891257447001408,[0.18666666666666668],[-0.14],[1],[0],[0],[1.0389101799992204],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
15,0,15,[0.19],[-0.10666666666666667],[1],[0],[0],[0.6761670560008497],['target'],15,0,15,0,25.932353026000783,,10,25.91863658299917,25.932353026000783,25.932353026000783,0.02724439300072845,26.595220036000683,[0.19],[-0.10666666666666667],[1],[0],[0],[0.6761670560008497],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
16,0,16,[0.38666666666666666],[-0.051666666666666666],[1],[0],[0],[1.2965158380029607],['target'],16,0,16,0,26.619055279999884,,5,26.609998590000032,26.619055279999884,26.619055279999884,0.014588504000130342,27.90706788800162,[0.38666666666666666],[-0.051666666666666666],[1],[0],[0],[1.2965158380029607],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
17,0,17,[-0.415],[-0.05],[1],[0],[0],[1.3790847820018826],['target'],17,0,17,0,27.930358091001835,,5,27.92107592600223,27.930358091001835,27.930358091001835,0.013882023999030935,29.300595595999766,[-0.415],[-0.05],[1],[0],[0],[1.3790847820018826],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
18,0,18,[0.265],[0.24333333333333335],[1],[0],[0],[1.4419854990010208],['target'],18,0,18,0,29.324891314001434,,5,29.314894192000793,29.324891314001434,29.324891314001434,0.014172415001667105,30.757313156002056,[0.265],[0.24333333333333335],[1],[0],[0],[1.4419854990010208],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
