thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,[0.4166666666666667],[0.13],[1],[0],[0],[1.61292163699909],['target'],19,0,19,0,30.799181368001882,,10,30.7855662280017,30.799181368001882,30.799181368001882,0.02812499300125637,32.398999016000744,[0.4166666666666667],[0.13],[1],[0],[0],[1.61292163699909],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
20,0,20,[0.2783333333333333],[0.04],[1],[0],[0],[1.1123427319980692],['target'],20,0,20,0,32.4234229720023,,5,32.41347810300067,32.4234229720023,32.4234229720023,0.014314598000055412,33.52622473700103,[0.2783333333333333],[0.04],[1],[0],[0],[1.1123427319980692],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
21,0,21,[0.095],[0.41333333333333333],[1],[0],[0],[2.251527963002445],['target'],21,0,21,0,33.567435949000355,,10,33.554147859002114,33.567435949000355,33.567435949000355,0.027796376001788303,35.80604369000139,[0.095],[0.41333333333333333],[1],[0],[0],[2.251527963002445],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
22,0,22,[0.07333333333333333],[-0.19333333333333333],[1],[0],[0],[1.598267482000665],['target'],22,0,22,0,35.84638417699898,,10,35.83259919000193,35.84638417699898,35.84638417699898,0.026400525999633828,37.431254610000906,[0.07333333333333333],[-0.19333333333333333],[1],[0],[0],[1.598267482000665],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
23,0,23,[-0.31],[0.45166666666666666],[1],[0],[0],[3.1995201659992745],['target'],23,0,23,0,37.47247798900207,,10,37.45886170900121,37.47247798900207,37.47247798900207,0.02743099900180823,40.658813240999734,[-0.31],[0.45166666666666666],[1],[0],[0],[3.1995201659992745],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
24,0,24,[-0.065],[-0.215],[1],[0],[0],[1.5037270809989423],['target'],24,0,24,0,40.68246650999936,,5,40.67306790799921,40.68246650999936,40.68246650999936,0.014100922999205068,42.17722026900083,[-0.065],[-0.215],[1],[0],[0],[1.5037270809989423],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
25,0,25,[-0.06333333333333334],[-0.30833333333333335],[1],[0],[0],[1.306882520999352],['target'],25,0,25,0,42.21788830500009,,10,42.204357348000485,42.21788830500009,42.21788830500009,0.026990782000211766,43.51160866099963,[-0.06333333333333334],[-0.30833333333333335],[1],[0],[0],[1.306882520999352],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
26,0,26,[-0.19],[-0.11166666666666666],[1],[0],[0],[1.1914124050017563],['target'],26,0,26,0,43.552634716001194,,10,43.53896964800151,43.552634716001194,43.552634716001194,0.027207957002246985,44.730797668999,[-0.19],[-0.11166666666666666],[1],[0],[0],[1.1914124050017563],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
27,0,27,[-0.325],[0.37],[1],[0],[0],[1.9745230000007723],['target'],27,0,27,0,44.75712663500235,,5,44.74661972700051,44.75712663500235,44.75712663500235,0.015662417998100864,46.72165375899931,[-0.325],[0.37],[1],[0],[0],[1.9745230000007723],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
28,0,28,[0.24],[0.27],[1],[0],[0],[1.4273395909985993],['target'],28,0,28,0,46.74593490999905,,5,46.73594922600023,46.74593490999905,46.74593490999905,0.014172452996717766,48.16370121300133,[0.24],[0.27],[1],[0],[0],[1.4273395909985993],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
29,0,29,[-0.05333333333333334],[-0.20166666666666666],[1],[0],[0],[1.3635736329997599],['target'],29,0,29,0,48.18852541900196,,5,48.178237732001435,48.18852541900196,48.18852541900196,0.014405580001039198,49.542348183000286,[-0.05333333333333334],[-0.20166666666666666],[1],[0],[0],[1.3635736329997599],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
30,0,30,[0.105],[-0.17666666666666667],[1],[0],[0],[1.1186289639990719],['target'],30,0,30,0,49.567352478999965,,5,49.55709799200122,49.567352478999965,49.567352478999965,0.01460797899926547,50.67613866300235,[0.105],[-0.17666666666666667],[1],[0],[0],[1.1186289639990719],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
31,0,31,[0.31666666666666665],[0.3383333333333333],[1],[0],[0],[1.4788118859978567],['target'],31,0,31,0,50.717840936002176,,10,50.70406464500047,50.717840936002176,50.717840936002176,0.02781308400153648,52.183289700002206,[0.31666666666666665],[0.3383333333333333],[1],[0],[0],[1.4788118859978567],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
32,0,32,[-0.05333333333333334],[-0.30333333333333334],[1],[0],[0],[1.648420965000696],['target'],32,0,32,0,52.208757010001136,,5,52.19807467899955,52.208757010001136,52.208757010001136,0.014614985000662273,53.84693946100015,[-0.05333333333333334],[-0.30333333333333334],[1],[0],[0],[1.648420965000696],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
33,0,33,[0.4716666666666667],[0.018333333333333333],[1],[0],[0],[1.2500471950006613],['target'],33,0,33,0,53.87113113500163,,5,53.86177020100149,53.87113113500163,53.87113113500163,0.014686676000565058,55.11217963500167,[0.4716666666666667],[0.018333333333333333],[1],[0],[0],[1.2500471950006613],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
34,0,34,[0.39666666666666667],[0.12166666666666667],[1],[0],[0],[0.8605547810002463],['target'],34,0,34,0,55.15355131800243,,10,55.13970653499928,55.15355131800243,55.15355131800243,0.027399934999266407,56.00063133900039,[0.39666666666666667],[0.12166666666666667],[1],[0],[0],[0.8605547810002463],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
35,0,35,[0.005],[-0.135],[1],[0],[0],[1.1726904480019584],['target'],35,0,35,0,56.04186263700103,,10,56.02828377200058,56.04186263700103,56.04186263700103,0.02749746699919342,57.201374947999284,[0.005],[-0.135],[1],[0],[0],[1.1726904480019584],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
36,0,36,[-0.44666666666666666],[-0.12],[1],[0],[0],[1.3180637299992668],['target'],36,0,36,0,57.226127482001175,,5,57.216336121000495,57.226127482001175,57.226127482001175,0.014805967002757825,58.53499913199994,[-0.44666666666666666],[-0.12],[1],[0],[0],[1.3180637299992668],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
37,0,37,[0.2633333333333333],[0.07166666666666667],[1],[0],[0],[1.6487357549995068],['target'],37,0,37,0,58.577499735001766,,10,58.56342264200066,58.577499735001766,58.577499735001766,0.02812687199912034,60.21260359799999,[0.2633333333333333],[0.07166666666666667],[1],[0],[0],[1.6487357549995068],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
38,0,38,[0.17833333333333334],[-0.06833333333333333],[1],[0],[0],[1.6901529379974818],['target'],38,0,38,0,60.23655037700155,,5,60.22731748200022,60.23655037700155,60.23655037700155,0.014554412999132182,61.91786913300166,[0.17833333333333334],[-0.06833333333333333],[1],[0],[0],[1.6901529379974818],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
39,0,39,[-0.48833333333333334],[-0.12],[1],[0],[0],[1.7182829800003674],['target'],39,0,39,0,61.95911384500141,,10,61.944967647999874,61.95911384500141,61.95911384500141,0.026953677002893528,63.66366858800029,[-0.48833333333333334],[-0.12],[1],[0],[0],[1.7182829800003674],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
40,0,40,[0.145],[-0.155],[1],[0],[0],[1.1701412689981225],['target'],40,0,40,0,63.688801367999986,,5,63.67888304400185,63.688801367999986,63.688801367999986,0.01505391400132794,64.84954798900071,[0.145],[-0.155],[1],[0],[0],[1.1701412689981225],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
41,0,41,[-0.31],[-0.3233333333333333],[1],[0],[0],[1.1264280100003816],['target'],41,0,41,0,64.87391151699921,,5,64.86458127100195,64.87391151699921,64.87391151699921,0.014906997999787563,65.99142179599949,[-0.31],[-0.3233333333333333],[1],[0],[0],[1.1264280100003816],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
42,0,42,[-0.19],[0.09833333333333333],[1],[0],[0],[1.4528551920011523],['target'],42,0,42,0,66.01692406100119,,5,66.00663575200088,66.01692406100119,66.01692406100119,0.0150648929993622,67.45996191200175,[-0.19],[0.09833333333333333],[1],[0],[0],[1.4528551920011523],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
43,0,43,[-0.06],[0.38666666666666666],[1],[0],[0],[2.047046190000401],['target'],43,0,43,0,67.5022548220004,,10,67.48739050600125,67.5022548220004,67.5022548220004,0.027277278997644316,69.53484315099922,[-0.06],[0.38666666666666666],[1],[0],[0],[2.047046190000401],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
44,0,44,[0.10333333333333333],[-0.355],[1],[0],[0],[1.4452629829975194],['target'],44,0,44,0,69.5592192969998,,5,69.54957651199948,69.5592192969998,69.5592192969998,0.014576197001588298,70.99552033800137,[0.10333333333333333],[-0.355],[1],[0],[0],[1.4452629829975194],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
45,0,45,[0.22166666666666668],[-0.45],[1],[0],[0],[1.3351081279979553],['target'],45,0,45,0,71.03621921500235,,10,71.0224966909991,71.03621921500235,71.03621921500235,0.026845467000384815,72.35797734399966,[0.22166666666666668],[-0.45],[1],[0],[0],[1.3351081279979553],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
46,0,46,[-0.11333333333333333],[-0.34833333333333333],[1],[0],[0],[2.3130124579984113],['target'],46,0,46,0,72.39785504899919,,10,72.38474321000103,72.39785504899919,72.39785504899919,0.026617122999596177,74.6982516249991,[-0.11333333333333333],[-0.34833333333333333],[1],[0],[0],[2.3130124579984113],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
47,0,47,[-0.018333333333333333],[-0.22833333333333333],[1],[0],[0],[1.0730754920004983],['target'],47,0,47,0,74.72431389600024,,5,74.71319830500215,74.72431389600024,74.72431389600024,0.014779572000406915,75.78666310900007,[-0.018333333333333333],[-0.22833333333333333],[1],[0],[0],[1.0730754920004983],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
48,0,48,[-0.43666666666666665],[-0.25833333333333336],[1],[0],[0],[1.0423499749995244],['target'],48,0,48,0,75.81046055399929,,5,75.80089995600065,75.81046055399929,75.81046055399929,0.014107062001130544,76.84373042700099,[-0.43666666666666665],[-0.25833333333333336],[1],[0],[0],[1.0423499749995244],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
49,0,49,[0.275],[0.44166666666666665],[1],[0],[0],[1.768522292997659],['target'],49,0,49,0,76.86790905599992,,5,76.85782429900064,76.86790905599992,76.86790905599992,0.013930846002040198,78.62678029200106,[0.275],[0.44166666666666665],[1],[0],[0],[1.768522292997659],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
50,0,50,[-0.023333333333333334],[0.455],[1],[0],[0],[1.6789572130001034],['target'],50,0,50,0,78.65125379500023,,5,78.64213909099999,78.65125379500023,78.65125379500023,0.015220911998767406,80.32164157300213,[-0.023333333333333334],[0.455],[1],[0],[0],[1.6789572130001034],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
51,0,51,[-0.23333333333333334],[0.2683333333333333],[1],[0],[0],[1.0492827580019366],['target'],51,0,51,0,80.34755890000088,,5,80.337674598999,80.34755890000088,80.34755890000088,0.01586695199875976,81.38745343499977,[-0.23333333333333334],[0.2683333333333333],[1],[0],[0],[1.0492827580019366],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
52,0,52,[-0.35833333333333334],[-0.315],[1],[0],[0],[1.3863025240025308],['target'],52,0,52,0,81.41358169900195,,5,81.40411715400114,81.41358169900195,81.41358169900195,0.016539165000722278,82.7910188700007,[-0.35833333333333334],[-0.315],[1],[0],[0],[1.3863025240025308],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
53,0,53,[-0.335],[0.03],[1],[0],[0],[1.0875358109988156],['target'],53,0,53,0,82.8178199899994,,5,82.80881877399952,82.8178199899994,82.8178199899994,0.017492495997430524,83.89689926100255,[-0.335],[0.03],[1],[0],[0],[1.0875358109988156],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
54,0,54,[0.11],[0.355],[1],[0],[0],[1.2568071489986323],['target'],54,0,54,0,83.93992506200084,,10,83.92577780600186,83.93992506200084,83.93992506200084,0.028710943999612937,85.18298356200103,[0.11],[0.355],[1],[0],[0],[1.2568071489986323],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
55,0,55,[-0.21833333333333332],[-0.325],[1],[0],[0],[1.4889078680025705],['target'],55,0,55,0,85.20831929799897,,5,85.19762875900051,85.20831929799897,85.20831929799897,0.014480064000963466,86.6869454459993,[-0.21833333333333332],[-0.325],[1],[0],[0],[1.4889078680025705],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
56,0,56,[0.0],[-0.155],[1],[0],[0],[1.1048293260028004],['target'],56,0,56,0,86.73536905500077,,10,86.71962475699911,86.73536905500077,86.73536905500077,0.03250112900059321,87.82483643299929,[0.0],[-0.155],[1],[0],[0],[1.1048293260028004],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
57,0,57,[-0.06666666666666667],[-0.45166666666666666],[1],[0],[0],[2.38742694100074],['target'],57,0,57,0,87.86747876300069,,10,87.85217599899988,87.86747876300069,87.86747876300069,0.027177824998943834,90.23998216600012,[-0.06666666666666667],[-0.45166666666666666],[1],[0],[0],[2.38742694100074],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
58,0,58,[-0.25333333333333335],[0.21],[1],[0],[0],[1.4286794010004087],['target'],58,0,58,0,90.26611698800116,,5,90.25517052199939,90.26611698800116,90.26611698800116,0.015016836998256622,91.68433631500011,[-0.25333333333333335],[0.21],[1],[0],[0],[1.4286794010004087],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
59,0,59,[-0.3933333333333333],[-0.08333333333333333],[1],[0],[0],[1.1762727009991067],['target'],59,0,59,0,91.70725805099937,,5,91.69822068000212,91.70725805099937,91.70725805099937,0.013737373999902047,92.8750299730018,[-0.3933333333333333],[-0.08333333333333333],[1],[0],[0],[1.1762727009991067],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
60,0,60,[0.47333333333333333],[0.20333333333333334],[1],[0],[0],[1.799024953998014],['target'],60,0,60,0,92.91674304800108,,10,92.90279811400251,92.91674304800108,92.91674304800108,0.02754319499945268,94.70225071300229,[0.47333333333333333],[0.20333333333333334],[1],[0],[0],[1.799024953998014],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
61,0,61,[0.4266666666666667],[-0.023333333333333334],[1],[0],[0],[1.491832923002221],['target'],61,0,61,0,94.72707551900021,,5,94.71651780500179,94.72707551900021,94.72707551900021,0.014098779000050854,96.20873696200215,[0.4266666666666667],[-0.023333333333333334],[1],[0],[0],[1.491832923002221],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
62,0,62,[0.36833333333333335],[0.16166666666666665],[1],[0],[0],[1.1152595280000241],['target'],62,0,62,0,96.25059251900166,,10,96.2360008800024,96.25059251900166,96.25059251900166,0.02714179100075853,97.35169023799972,[0.36833333333333335],[0.16166666666666665],[1],[0],[0],[1.1152595280000241],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
63,0,63,[-0.26666666666666666],[-0.3016666666666667],[1],[0],[0],[1.525078434999159],['target'],63,0,63,0,97.37678402299935,,5,97.36641520199919,97.37678402299935,97.37678402299935,0.014524066999001661,98.89198318299896,[-0.26666666666666666],[-0.3016666666666667],[1],[0],[0],[1.525078434999159],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
64,0,64,[0.22833333333333333],[-0.475],[1],[0],[0],[1.715272671997809],['target'],64,0,64,0,98.93378804100212,,10,98.91948979399967,98.93378804100212,98.93378804100212,0.027376263002224732,100.6351749250025,[0.22833333333333333],[-0.475],[1],[0],[0],[1.715272671997809],['target'],705599,001,2024-10-10_13h39.22.626,VISUALSEARCH,2024.2.1,None,2024-10-10 13h43.58.343800 +0530,
