word_study,thisN,thisTrialN,thisRepN,slider.response,slider.rt,word_practice,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,0,0,0,2.9866666666666664,1.7827761449989339,,,,,,,,,,,,0,0,0,8,,,,,0.08451152499765158,,0.02741643099943758,0.08451152499765158,0.08451152499765158,1.8302477340002952,2.9866666666666664,1.7827761449989339,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
marble,1,1,0,3.977777777777778,1.643741134001175,,,,,,,,,,,,0,1,1,12,,,,,1.8551717410009587,,1.8374659330002032,1.8551717410009587,1.8551717410009587,3.502508220997697,3.977777777777778,1.643741134001175,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
keys,2,2,0,1.9955555555555555,2.200524233998294,,,,,,,,,,,,0,2,2,9,,,,,3.5274296079987835,,3.5082604970011744,3.5274296079987835,3.5274296079987835,5.730174280000938,1.9955555555555555,2.200524233998294,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
book,3,3,0,1,1.689506294002058,,,,,,,,,,,,0,3,3,2,,,,,5.7566415699984645,,5.735720296997897,5.7566415699984645,5.7566415699984645,7.447647444998438,1,1.689506294002058,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
vase,4,4,0,1,1.6637388180024573,,,,,,,,,,,,0,4,4,0,,,,,7.474740551999275,,7.455203892997815,7.474740551999275,7.474740551999275,9.138914762999775,1,1.6637388180024573,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
chart,5,5,0,1.008888888888889,1.0899224290005805,,,,,,,,,,,,0,5,5,14,,,,,9.163135096998303,,9.144632032999652,9.163135096998303,9.163135096998303,10.255691105998267,1.008888888888889,1.0899224290005805,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
poster,6,6,0,2.013333333333333,1.5663006030008546,,,,,,,,,,,,0,6,6,10,,,,,10.281281272000342,,10.262548611000966,10.281281272000342,10.281281272000342,11.848431455000537,2.013333333333333,1.5663006030008546,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
piano ,7,7,0,2.991111111111111,1.239745392002078,,,,,,,,,,,,0,7,7,4,,,,,11.875331252998876,,11.855762659000902,11.875331252998876,11.875331252998876,13.114759560998209,2.991111111111111,1.239745392002078,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
pastry,8,8,0,1.0,1.4630041519994847,,,,,,,,,,,,0,8,8,6,,,,,13.13746513300066,,13.119129825998243,13.13746513300066,13.13746513300066,14.602633015998435,1.0,1.4630041519994847,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
tiger,9,9,0,2.0844444444444443,1.3597342709981604,,,,,,,,,,,,0,9,9,1,,,,,14.626475321998441,,14.608076827000332,14.626475321998441,14.626475321998441,15.988697402997786,2.0844444444444443,1.3597342709981604,,,,,,,,,,,,,,,131912,001,2024-10-28_19h32.31.860,WordPriming Experiment,2024.2.1,57.56379983006039,2024-10-28 19h32.41.277112 +0530,
