stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
57,0.5,5.5,69.44675954300328,,69.43981961700047,69.44675954300328,69.93690635199891,69.93690635199891,69.93690635199891,70.23669175700343,70.77318106500024,left,-5.5,1,1,0.8311256609958946,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
58,0.5,5.5,70.78098527700058,,70.7734277740019,70.78098527700058,71.26990598300472,71.26990598300472,71.26990598300472,71.56880350199935,71.66715363800176,right,5.5,1,1,0.38883967400033725,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
59,0.5,5.5,71.67111973900319,,71.6673778100012,71.67111973900319,72.16429022000375,72.16429022000375,72.1705146470049,72.4527969289993,72.61774813100055,right,5.5,1,1,0.44656214700080454,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
60,0.5,5.0,72.62260918899847,,72.61800283200137,72.62260918899847,73.11424441300187,73.11424441300187,73.12054236100084,73.40312409200124,73.4994659590011,right,5.0,1,1,0.37488807499903487,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
61,0.5,5.0,73.5033284960009,,73.49967907300015,73.5033284960009,73.99791200700565,73.99791200700565,74.0043223840039,74.28614280799957,74.38365409499966,left,-5.0,0,0,0.3771362400002545,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
62,0.5,5.5,74.38759473400569,,74.38387080500252,74.38759473400569,74.88090759500483,74.88090759500483,74.88672875300108,75.16883951199998,75.40607017300499,left,-5.5,1,1,0.5224329800039413,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
63,0.5,5.5,75.41363976999855,,75.40632153900515,75.41363976999855,75.90268597700197,75.90268597700197,75.90268597700197,76.19787095200445,76.50556797999889,right,5.5,1,1,0.5982999650004786,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
64,0.5,5.5,76.51407057200413,,76.50581303099898,76.51407057200413,77.00400648399955,77.00400648399955,77.00400648399955,77.30310073000146,77.58352298600221,left,-5.5,1,1,0.5689305120031349,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
65,0.5,5.0,77.58784434300469,,77.58377391400427,77.58784434300469,78.08102689700172,78.08102689700172,78.08735515399894,78.36938216900307,78.59067394900194,left,-5.0,1,1,0.5032001899962779,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
66,0.5,5.0,78.59719984700496,,78.5909250390032,78.59719984700496,79.08696362800401,79.08696362800401,79.08696362800401,79.38109042300493,79.57216606200382,left,-5.0,1,1,0.4803217649969156,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
67,0.5,5.0,79.58029460800026,,79.57240874100535,79.58029460800026,80.0702922690034,80.0702922690034,80.0702922690034,80.36900751600479,80.53923135100194,left,-5.0,1,1,0.4638840469997376,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
68,0.5,4.5,80.54705052300415,,80.53947909000271,80.54705052300415,81.03708563800319,81.03708563800319,81.03708563800319,81.3309118180041,81.62132608899992,right,4.5,1,1,0.5789717189982184,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
69,0.5,4.5,81.63075491400377,,81.62153094100358,81.63075491400377,82.13090230500529,82.13090230500529,82.13090230500529,82.41961557900504,82.63361886700295,left,-4.5,1,1,0.4948641949958983,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
70,0.5,4.5,82.63774900999852,,82.63386626300053,82.63774900999852,83.13088116600557,83.13088116600557,83.13692161300423,83.41868776300544,83.67209272300533,right,4.5,1,1,0.5361967200005893,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
71,0.5,4.0,83.67992263699853,,83.67233916999976,83.67992263699853,84.16934142800164,84.16934142800164,84.16934142800164,84.46412123000482,84.57267551300174,left,-4.0,1,1,0.39866744399478193,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
72,0.5,4.0,84.58072769700084,,84.57291776100465,84.58072769700084,85.0703185300008,85.0703185300008,85.0703185300008,85.36456176700449,85.71710619000078,left,-4.0,1,1,0.641389528005675,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
73,0.5,4.0,85.72214132400404,,85.71740641100041,85.72214132400404,86.21402913900238,86.21402913900238,86.22040534100233,86.50352837399987,86.91592911400221,left,-4.0,1,1,0.6904798510004184,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
74,0.5,3.5,86.91966004200367,,86.91612454200367,86.91966004200367,87.41422172899911,87.41422172899911,87.41422172899911,87.70284118199925,87.85654766900552,right,3.5,1,1,0.43640629400033504,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
75,0.5,3.5,87.86455476600531,,87.85679087500466,87.86455476600531,88.35242438700516,88.35242438700516,88.35242438700516,88.6476868030004,89.03956166800344,left,-3.5,1,1,0.6820011060044635,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
76,0.5,3.5,89.0468987320055,,89.03982137799903,89.0468987320055,89.53632277800352,89.53632277800352,89.53632277800352,89.83133581700531,89.93871516200306,right,3.5,1,1,0.39734648000012385,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
77,0.5,3.0,89.94703747000312,,89.93896150700311,89.94703747000312,90.43609799100523,90.43609799100523,90.43609799100523,90.73082788200554,91.00060102400312,left,-3.0,1,1,0.5557451959975879,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
78,0.5,3.0,91.00452257999859,,91.00081097400107,91.00452257999859,91.49765847500385,91.49765847500385,91.50305264000053,91.78584793000482,91.86683210900082,right,3.0,1,1,0.3635505759957596,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
79,0.5,3.0,91.87104948000342,,91.86707586100238,91.87104948000342,92.36407364200568,92.36407364200568,92.37020130600285,92.65223132599931,92.78305097300472,right,3.0,0,0,0.410312307998538,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
80,0.5,3.5,92.78694894300133,,92.78327444300521,92.78694894300133,93.28077328899963,93.28077328899963,93.2867569240043,93.56888441400224,93.77198579299875,left,-3.5,0,0,0.48580118900281377,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
81,0.5,4.0,93.78050549999898,,93.77223122600117,93.78050549999898,94.26999307400547,94.26999307400547,94.26999307400547,94.56410912800493,94.80690296100511,right,4.0,1,1,0.5341182789998129,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
82,0.5,4.0,94.81354088200169,,94.80715374300053,94.81354088200169,95.30354262200126,95.30354262200126,95.30354262200126,95.59712094900169,96.03268898800161,left,-4.0,1,1,0.7189469609947992,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
