reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,4.979051653994247,None,0,0,0,1,0.09032157500041649,,0.07872696999402251,0.09032157500041649,1.0116941059968667,1.0116941059968667,1.088659909000853,6.021765277997474,l,4.979051653994247,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
27,50,21,1,1,0,l,4.007207732007373,None,0,1,1,2,6.053138545001275,,6.028022852988215,6.053138545001275,7.013741367991315,7.013741367991315,7.048507018000237,11.024106932993163,l,4.007207732007373,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
40,55,62,2,2,0,t,2.7513645739963977,None,0,2,2,3,11.043552563991398,,11.031466436994378,11.043552563991398,12.022625135999988,12.022625135999988,12.038846511990414,14.784428105995175,t,2.7513645739963977,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
67,75,119,3,3,0,t,2.9019643219944555,None,0,3,3,5,14.802484111991362,,14.791350751998834,14.802484111991362,15.783245564001845,15.783245564001845,15.802140849002171,18.69277231799788,t,2.9019643219944555,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
78,80,162,4,4,0,t,3.730580553994514,None,0,4,4,6,18.70734529699257,,18.69940112499171,18.70734529699257,19.689284129999578,19.689284129999578,19.731609372989624,23.42460933899565,t,3.730580553994514,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
11,30,7,5,5,0,l,2.3441829540097388,None,0,5,5,0,23.436730155997793,,23.428802558992174,23.436730155997793,24.42271025099035,24.42271025099035,24.431254625000292,26.770417224994162,l,2.3441829540097388,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
49,60,89,6,6,0,t,2.544692045004922,None,0,6,6,4,26.786218575987732,,26.77567261699005,26.786218575987732,27.76489498600131,27.76489498600131,27.78160828098771,30.317343314993195,t,2.544692045004922,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
15,35,13,7,0,1,l,3.2788782809948316,None,1,0,7,1,30.331512434990145,,30.322002827000688,30.331512434990145,31.315114525001263,31.315114525001263,31.323230436988524,34.59944993098907,l,3.2788782809948316,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
11,30,7,8,1,1,l,1.785670441997354,None,1,1,8,0,34.61199203100114,,34.603917806001846,34.61199203100114,35.589338656995096,35.589338656995096,35.61548839499301,37.38347734398849,l,1.785670441997354,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
27,50,21,9,2,1,l,3.4993586279888405,None,1,2,9,2,37.39681588100211,,37.38791278399003,37.39681588100211,38.38140186599048,38.38140186599048,38.38881276200118,41.883975441000075,l,3.4993586279888405,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
78,80,162,10,3,1,t,1.765606024011504,None,1,3,10,6,41.896681290993,,41.88815608200093,41.896681290993,42.88169675599784,42.88169675599784,42.8893825809937,44.6503634529945,t,1.765606024011504,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
40,55,62,11,4,1,t,1.703067189999274,None,1,4,11,3,44.66457521599659,,44.654979888990056,44.66457521599659,45.6482046309975,45.6482046309975,45.65471804900153,47.35831593599869,t,1.703067189999274,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
49,60,89,12,5,1,t,2.603264116012724,None,1,5,12,4,47.374499653000385,,47.364436028001364,47.374499653000385,48.35555468600069,48.35555468600069,48.3720763859892,50.984128104988486,t,2.603264116012724,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
67,75,119,13,6,1,t,1.788864881003974,None,1,6,13,5,50.99948199899518,,50.98948526100139,50.99948199899518,51.98156717699021,51.98156717699021,52.00046020100126,53.773807557998225,t,1.788864881003974,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
67,75,119,14,0,2,t,1.459294423009851,None,2,0,14,5,53.78452320898941,,53.77421018399764,53.78452320898941,54.773018382999,54.773018382999,54.784152182997786,56.24179495299177,t,1.459294423009851,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
15,35,13,15,1,2,l,1.926198482993641,None,2,1,15,1,56.255921827993006,,56.247862427990185,56.255921827993006,57.23880638999981,57.23880638999981,57.247647340991534,59.16786537699227,l,1.926198482993641,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
78,80,162,16,2,2,t,1.8833525660011219,None,2,2,16,6,59.18160797099699,,59.17253587600135,59.18160797099699,60.16438637499232,60.16438637499232,60.17240347398911,62.050848995000706,t,1.8833525660011219,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
49,60,89,17,3,2,t,3.8012825889891246,None,2,3,17,4,62.06416564999381,,62.05574708999484,62.06416564999381,63.046656024991535,63.046656024991535,63.05495430198789,66.85124192498915,t,3.8012825889891246,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
11,30,7,18,4,2,l,4.572429181003827,None,2,4,18,0,66.86543397099013,,66.8565044709976,66.86543397099013,67.86462744999153,67.86462744999153,67.88180883399036,72.44188639399363,l,4.572429181003827,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
40,55,62,19,5,2,t,2.058163371999399,None,2,5,19,3,72.45482549899316,,72.44705336299376,72.45482549899316,73.44030982299591,73.44030982299591,73.44962559499254,75.50838082098926,t,2.058163371999399,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
27,50,21,20,6,2,l,1.9170321459969273,None,2,6,20,2,75.52426553299301,,75.51422900299076,75.52426553299301,76.506031522993,76.506031522993,76.53132806999201,78.43303679100063,l,1.9170321459969273,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
78,80,162,21,0,3,t,1.844857835007133,None,3,0,21,6,78.44658964099654,,78.43688348100113,78.44658964099654,79.43105006800033,79.43105006800033,79.43844013298803,81.28334973299934,t,1.844857835007133,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
67,75,119,22,1,3,t,6.276998953995644,None,3,1,22,5,81.29670039999473,,81.28773025400005,81.29670039999473,82.280194373001,82.280194373001,82.28879808099009,88.56827632700151,t,6.276998953995644,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
49,60,89,23,2,3,t,1.568164241994964,None,3,2,23,4,88.58140338199155,,88.57224657999177,88.58140338199155,89.56264581398864,89.56264581398864,89.5793615319999,91.13277549699706,t,1.568164241994964,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
11,30,7,24,3,3,l,1.2007697420049226,None,3,3,24,0,91.1475911919988,,91.1359021949902,91.1475911919988,92.17171963099099,92.17171963099099,92.17171963099099,93.38400051699136,l,1.2007697420049226,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
15,35,13,25,4,3,l,1.323354398002266,None,3,4,25,1,93.39800535100221,,93.38908302500204,93.39800535100221,94.3807067250018,94.3807067250018,94.38797688100021,95.70739598499495,l,1.323354398002266,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
27,50,21,26,5,3,t,2.0479207419994054,None,3,5,26,2,95.72052370499296,,95.71251727300114,95.72052370499296,96.70511320899823,96.70511320899823,96.71390640299069,98.75721166998846,t,2.0479207419994054,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
40,55,62,27,6,3,l,1.837729639999452,None,3,6,27,3,98.77164034498855,,98.76201208800194,98.77164034498855,99.75531117299397,99.75531117299397,99.76347044599243,101.59979088600085,l,1.837729639999452,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
11,30,7,28,0,4,t,1.6516638010070892,None,4,0,28,0,101.6138329069945,,101.604126523991,101.6138329069945,102.5902639029955,102.5902639029955,102.61489250099112,104.25014088799071,t,1.6516638010070892,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
15,35,13,29,1,4,l,2.2427301259886008,None,4,1,29,1,104.26302383300208,,104.25441422099539,104.26302383300208,105.24637280499155,105.24637280499155,105.25468675099546,107.49939783899754,l,2.2427301259886008,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
67,75,119,30,2,4,t,2.0735391759953927,None,4,2,30,5,107.51227548999304,,107.50343658898782,107.51227548999304,108.49563809100073,108.49563809100073,108.5040077399899,110.5736892749992,t,2.0735391759953927,None,698285,001,2024-11-16_12h42.00.981,DelayDiscountingExperiment,2024.2.1,89.64746823124996,2024-11-16 12h42.35.942400 +0530,
