reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,1.3041950040060328,None,0,0,0,2,0.0679816110059619,,0.05628124700160697,0.0679816110059619,1.0115327249950496,1.0115327249950496,1.0906845849967794,2.3416447630006587,l,1.3041950040060328,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
15,35,13,1,1,0,l,0.7714406340091955,None,0,1,1,1,2.366477139003109,,2.345970587004558,2.366477139003109,3.3402653530065436,3.3402653530065436,3.3595614160003606,4.116569046993391,l,0.7714406340091955,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
78,80,162,2,2,0,t,0.9031931180070387,None,0,2,2,6,4.137181847996544,,4.123318949001259,4.137181847996544,5.114363286993466,5.114363286993466,5.132492588003515,6.027048246993218,t,0.9031931180070387,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
67,75,119,3,3,0,t,2.084344652001164,None,0,3,3,5,6.04518846499559,,6.034045039996272,6.04518846499559,7.024423447001027,7.024423447001027,7.0566912590002175,9.124351389997173,t,2.084344652001164,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
40,55,62,4,4,0,l,0.9691197469946928,None,0,4,4,3,9.137980304993107,,9.131593054000405,9.137980304993107,10.123736876004841,10.123736876004841,10.131769437997718,11.101659510997706,l,0.9691197469946928,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
11,30,7,5,5,0,l,0.8110352939984296,None,0,5,5,0,11.117695452005137,,11.107320983996033,11.117695452005137,12.097446771993418,12.097446771993418,12.113904003999778,12.911568406998413,l,0.8110352939984296,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
49,60,89,6,6,0,t,1.4554530850000447,None,0,6,6,4,12.928148852995946,,12.916376299996045,12.928148852995946,13.907230010998319,13.907230010998319,13.924991866995697,15.368592789003742,t,1.4554530850000447,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
27,50,21,7,0,1,l,0.6167831110069528,None,1,0,7,2,15.38336010799685,,15.373753748994204,15.38336010799685,16.364552198007004,16.364552198007004,16.390497781001613,16.99290093999298,l,0.6167831110069528,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
11,30,7,8,1,1,l,0.7498559969972121,None,1,1,8,0,17.01027444799547,,16.998904538006173,17.01027444799547,18.006975126001635,18.006975126001635,18.02367680700263,18.760327829993912,l,0.7498559969972121,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
15,35,13,9,2,1,l,0.5647607060091104,None,1,2,9,1,18.777346596994903,,18.765377553994767,18.777346596994903,19.756670774004306,19.756670774004306,19.77569459300139,20.327206304005813,l,0.5647607060091104,None,015517,001,2024-11-16_13h10.19.500,DelayDiscountingExperiment,2024.2.1,None,2024-11-16 13h10.38.081758 +0530,
