delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Beep.started,sound_1.started,sound_1.stopped,Beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,space,0.3664069290025509,None,88 ,1,[2.3564224100045976],[2.3564459910048754],0,0,0,5,0.039820254998630844,,0.022908489001565613,0.039820254998630844,0.9948819880009978,0.9948819880009978,1.0347817649962963,1.3818287030007923,space,0.3664069290025509,None,1.3823926969998865,2.0853396916684384,2.421339653999894,2.3815898890024982,2.3824846839997917,2.421339653999894,2.421339653999894,2.421339653999894,4.779109805000189,88 ,1,[2.3564224100045976],[2.3564459910048754],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,1,1,0,space,1.6708816870013834,None,55,1,[1.0744322250029654],[1.0744457340042572],0,1,1,10,4.785278016002849,,4.77939018500183,4.785278016002849,5.7781718830010504,5.7781718830010504,5.784406302002026,7.454194332996849,space,1.6708816870013834,None,7.454727461001312,7.86156424266325,8.167256751003151,8.148892272998637,8.14949968199653,8.167256751003151,8.167256751003151,8.167256751003151,9.243662020999182,55,1,[1.0744322250029654],[1.0744457340042572],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,2,2,0,space,2.543239339000138,None,888,1,[1.3578611180055304],[1.3578700380021473],0,2,2,3,9.249717106999015,,9.243909621000057,9.249717106999015,10.234136327999295,10.234136327999295,10.244732915001805,12.780143586998747,space,2.543239339000138,None,12.780698486996698,12.88506529966641,13.19038893400284,13.172403933000169,13.173028320001322,13.19038893400284,13.19038893400284,13.19038893400284,14.549352713002008,888,1,[1.3578611180055304],[1.3578700380021473],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,3,3,0,space,0.404837691996363,None,77,1,[1.0418865169995115],[1.0418982030023471],0,3,3,11,14.555509997997433,,14.549601093996898,14.555509997997433,15.544704872998409,15.544704872998409,15.551221622001322,15.963730028997816,space,0.404837691996363,None,15.964253493999422,16.666872731668505,16.974478862997785,16.955883103000815,16.9572741209995,16.974478862997785,16.974478862997785,16.974478862997785,18.01781715299876,77,1,[1.0418865169995115],[1.0418982030023471],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,4,4,0,space,0.9333706010002061,None,333,1,[1.8109746179979993],[1.810985260999587],0,4,4,7,18.025261246999435,,18.01810153599945,18.025261246999435,19.01264594699751,19.01264594699751,19.0202766729999,19.94767272599711,space,0.9333706010002061,None,19.94825089599908,20.350272042666134,20.65720703700208,20.639018374000443,20.639628149998316,20.65720703700208,20.65720703700208,20.65720703700208,22.469175168997026,333,1,[1.8109746179979993],[1.810985260999587],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,5,5,0,space,0.653410607999831,None,121,1,[2.5592335070032277],[2.559245729004033],0,5,5,9,22.478448617999675,,22.469437537001795,22.478448617999675,23.46737200699863,23.46737200699863,23.46737200699863,24.129374290998385,space,0.653410607999831,None,24.12991333100217,24.228928012668135,24.53216900499683,24.51493376000144,24.515536439001153,24.53216900499683,24.53216900499683,24.53216900499683,27.093294266996963,121,1,[2.5592335070032277],[2.559245729004033],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,6,6,0,space,0.35026321800251026,None,345,1,[1.6300965970003745],[1.6301084419974359],0,6,6,8,27.099768015003065,,27.093572054000106,27.099768015003065,28.08401449899975,28.08401449899975,28.094533638999565,28.43679006399907,space,0.35026321800251026,None,28.43732541299687,29.145545979667318,29.44911134999711,29.431815564996214,29.43242101099895,29.44911134999711,29.44911134999711,29.44911134999711,31.080107583002246,345,1,[1.6300965970003745],[1.6301084419974359],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,7,7,0,space,0.403869442998257,None,2,1,[1.5332007940014591],[1.5332147150038509],0,7,7,6,31.09514276000118,,31.080353994999314,31.09514276000118,32.07916222199856,32.07916222199856,32.08634981200157,32.48679331700259,space,0.403869442998257,None,32.487422218000575,32.595694739666456,32.90050205500302,32.882613173998834,32.883273615996586,32.90050205500302,32.90050205500302,32.90050205500302,34.43470117599645,2,1,[1.5332007940014591],[1.5332147150038509],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,400,unexp,8,8,0,space,0.31241179799690144,None,45,1,[1.6024033240028075],[1.6024364530021558],0,8,8,2,34.44199672999821,,34.43498127099883,34.44199672999821,35.43391175600118,35.43391175600118,35.43391175600118,35.748261291002564,space,0.31241179799690144,None,35.749028188998636,36.45264835566583,36.75754663699627,36.73816898399673,36.73881896399689,36.75754663699627,36.75754663699627,36.75754663699627,38.36159983000107,45,1,[1.6024033240028075],[1.6024364530021558],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,9,9,0,space,1.0677491110036499,None,234,1,[1.6445633380062645],[1.64457375100028],0,9,9,4,38.368991041999834,,38.36187505900307,38.368991041999834,39.35297822400025,39.35297822400025,39.36321256800147,40.430747828002495,space,1.0677491110036499,None,40.43134466899937,40.83450768966965,41.139400660998945,41.12144171100226,41.12208086899773,41.139400660998945,41.139400660998945,41.139400660998945,42.785050965001574,234,1,[1.6445633380062645],[1.64457375100028],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
