thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.021111111111111112],[-0.028888888888888888],[1],[0],[0],[1.3736225640022894],['target'],0,0,0,0,0.05257392599742161,,5,0.024676719000126468,0.05257392599742161,0.05257392599742161,0.0242565119988285,1.3991309749981156,[-0.021111111111111112],[-0.028888888888888888],[1],[0],[0],[1.3736225640022894],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
1,0,1,[-0.2544444444444444],[0.4688888888888889],[1],[0],[0],[1.6765811599980225],['target'],1,0,1,0,1.4268599329989229,,5,1.4154953679972095,1.4268599329989229,1.4268599329989229,0.01602532600008999,3.092636596997181,[-0.2544444444444444],[0.4688888888888889],[1],[0],[0],[1.6765811599980225],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
2,0,2,[0.4288888888888889],[0.2111111111111111],[1],[0],[0],[1.3126617909983906],['target'],2,0,2,0,3.121106032998796,,5,3.110043812997901,3.121106032998796,3.121106032998796,0.01719856300042011,4.423165984997468,[0.4288888888888889],[0.2111111111111111],[1],[0],[0],[1.3126617909983906],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
3,0,3,[-0.31333333333333335],[0.2911111111111111],[1],[0],[0],[1.2916269499983173],['target'],3,0,3,0,4.471748390998982,,10,4.455186833998596,4.471748390998982,4.471748390998982,0.031850246003159555,5.747335557000042,[-0.31333333333333335],[0.2911111111111111],[1],[0],[0],[1.2916269499983173],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
4,0,4,[-0.013333333333333334],[0.23333333333333334],[1],[0],[0],[1.1729115939997428],['target'],4,0,4,0,5.77376921999894,,5,5.76256604199807,5.77376921999894,5.77376921999894,0.014914089002559194,6.936003722999885,[-0.013333333333333334],[0.23333333333333334],[1],[0],[0],[1.1729115939997428],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
5,0,5,[0.29],[0.4888888888888889],[1],[0],[0],[2.287027948001196],['target'],5,0,5,0,6.966274954000255,,5,6.953118040997651,6.966274954000255,6.966274954000255,0.016907837001781445,9.240676166999037,[0.29],[0.4888888888888889],[1],[0],[0],[2.287027948001196],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
6,0,6,[-0.39],[-0.41333333333333333],[1],[0],[0],[2.151341910001065],['target'],6,0,6,0,9.286902764997649,,10,9.270529336998152,9.286902764997649,9.286902764997649,0.0296808589991997,11.42229063099876,[-0.39],[-0.41333333333333333],[1],[0],[0],[2.151341910001065],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
7,0,7,[-0.39222222222222225],[0.2833333333333333],[1],[0],[0],[1.4494471750003868],['target'],7,0,7,0,11.448464657998557,,5,11.437221618998592,11.448464657998557,11.448464657998557,0.014752506998775061,12.887233441997523,[-0.39222222222222225],[0.2833333333333333],[1],[0],[0],[1.4494471750003868],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
8,0,8,[-0.24],[0.05],[1],[0],[0],[1.6837239229971601],['target'],8,0,8,0,12.928970191998815,,10,12.913856703999045,12.928970191998815,12.928970191998815,0.026469494001503335,14.5984251459995,[-0.24],[0.05],[1],[0],[0],[1.6837239229971601],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
9,0,9,[-0.20222222222222222],[-0.41444444444444445],[1],[0],[0],[1.6146216330016614],['target'],9,0,9,0,14.624552973000391,,5,14.613241193997965,14.624552973000391,14.624552973000391,0.014561990999936825,16.228258987997833,[-0.20222222222222222],[-0.41444444444444445],[1],[0],[0],[1.6146216330016614],['target'],401422,001,2024-10-10_13h22.05.025,VISUALSEARCH,2024.2.1,None,2024-10-10 13h22.25.709866 +0530,
