pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.6512154299998656,None,0,0,0,0,,,,,0.028719403000650345,,0.015137602000322659,0.028719403000650345,1.0034230399996886,1.0034230399996886,1.0034230399996886,1.0034230399996886,1.0218177959995955,2.000196926001081,2.000196926001081,2.679757158999564,x,1,0.6512154299998656,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,1,1,0,v,1,0.6403135159998783,None,0,1,1,1,,,,,2.701884907000931,,2.680128889000116,2.701884907000931,3.672114363000219,3.672114363000219,3.672114363000219,3.672114363000219,3.6982845479997195,4.6729665719994955,4.6729665719994955,5.318533356999978,v,1,0.6403135159998783,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,2,2,0,c,1,0.8025903670004482,None,0,2,2,2,,,,,5.3296745759998885,,5.3190288149999105,5.3296745759998885,6.331067694000012,6.331067694000012,6.331067694000012,6.331067694000012,6.349078802000804,7.314965273999405,7.314965273999405,8.123209483999744,c,1,0.8025903670004482,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,3,3,0,z,1,0.42948529299974325,None,0,3,3,3,,,,,8.134778040999663,,8.12353462000101,8.134778040999663,9.123280842000895,9.123280842000895,9.123280842000895,9.123280842000895,9.132898612000645,10.122306462999404,10.122306462999404,10.565512608000063,z,1,0.42948529299974325,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,4,0,1,x,1,0.6189630890003173,None,1,0,4,0,,,,,10.581339301999833,,10.565837489000842,10.581339301999833,11.555763817999832,11.555763817999832,11.555763817999832,11.555763817999832,11.573423394000201,12.556712374000199,12.556712374000199,13.184779520999655,x,1,0.6189630890003173,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,5,1,1,v,1,0.5901870779998717,None,1,1,5,1,,,,,13.197199370000817,,13.185255399001107,13.197199370000817,14.180964692999623,14.180964692999623,14.180964692999623,14.180964692999623,14.188198420000845,15.189937295999698,15.189937295999698,15.788789367999925,v,1,0.5901870779998717,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,6,2,1,c,1,0.6581945840007393,None,1,2,6,2,,,,,15.801793790000374,,15.789263955000933,15.801793790000374,16.78187724199961,16.78187724199961,16.78187724199961,16.78187724199961,16.798269893000906,17.782549176999964,17.782549176999964,18.45036026100024,c,1,0.6581945840007393,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,7,3,1,z,1,0.28445504500086827,None,1,3,7,3,,,,,18.462315872000545,,18.450838030999876,18.462315872000545,19.44796198199947,19.44796198199947,19.44796198199947,19.44796198199947,19.45488651100095,20.44918092700027,20.44918092700027,20.74080486999992,z,1,0.28445504500086827,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,8,0,2,x,1,0.6177939230001357,None,2,0,8,0,,,,,20.750496558001032,,20.741137040000467,20.750496558001032,21.73990072200104,21.73990072200104,21.73990072200104,21.73990072200104,21.74948783900072,22.7390637110002,22.7390637110002,23.367390075000003,x,1,0.6177939230001357,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,9,1,2,v,1,0.6005413309994765,None,2,1,9,1,,,,,23.381195633999596,,23.36788499999966,23.381195633999596,24.364744827000322,24.364744827000322,24.364744827000322,24.364744827000322,24.372095013000944,25.36684811899977,25.36684811899977,25.977201916000922,v,1,0.6005413309994765,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,10,2,2,c,1,0.7242600610006775,None,2,2,10,2,,,,,25.988523968000663,,25.97775063500012,25.988523968000663,26.97241413700067,26.97241413700067,26.97241413700067,26.97241413700067,26.98201567599972,27.97241457600103,27.97241457600103,28.701107283000965,c,1,0.7242600610006775,None,,,,,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
