stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,fixation_cross.stopped,word_one.stopped,word_two.stopped,word_three.stopped,key_resp_2.stopped,instruction.started,text.started,text.stopped,instruction.stopped,cc.started,text_countdown.started,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.005987420001474675,0.02303608700458426,0.02303608700458426,1.257862490005209,space,1.032097862000228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
fish,bird,shark,2,medium,0,0,0,2,1.1553699990035966,None,,,,0,0,0,7,,,,,1.288458774004539,,,,,,,,,1.2679893410022487,1.288458774004539,1.7583281949991942,Pressure,1.7696158170001581,1.7796386400004849,1.7796386400004849,1.7796386400004849,1.7796386400004849,2.943243314002757,2,1.1553699990035966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
dog,car,cat,2,easy,1,1,0,2,1.8854031049995683,None,,,,0,1,1,0,,,,,2.9531930170051055,,,,,,,,,2.9434355449993745,2.9531930170051055,3.4393334240012337,Pressure,3.4456750770041253,3.4536660270023276,3.4536660270023276,3.4536660270023276,3.4536660270023276,5.3431797709999955,2,1.8854031049995683,None,3.4536660270023276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
sofa,table,lamp,3,medium,2,2,0,3,1.700165834998188,None,,,,0,2,2,4,,,,,5.355331393002416,,,,,,,,,5.343408192005882,5.355331393002416,5.841608053000527,Pressure,5.851937269006157,5.859725633003109,5.859725633003109,5.859725633003109,5.859725633003109,7.568166447999829,3,1.700165834998188,None,5.859725633003109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
apple,banana,pencil,3,easy,3,3,0,3,1.8793638980059768,None,,,,0,3,3,3,,,,,7.5762007770026685,,,,,,,,,7.568338482000399,7.5762007770026685,8.06684887099982,Pressure,8.075597528004437,8.083595891999721,8.083595891999721,8.083595891999721,8.083595891999721,9.968017408005835,3,1.8793638980059768,None,8.083595891999721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
octopus ,penguin,squid,2,hard,4,4,0,2,0.7519141500015394,None,,,,0,4,4,14,,,,,9.978971166005067,,,,,,,,,9.968285679002292,9.978971166005067,10.466939663005178,Pressure,10.476171683003486,10.483911834002356,10.483911834002356,10.483911834002356,10.483911834002356,11.242409345999476,2,0.7519141500015394,None,10.483911834002356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
sun,book,moon,2,easy,5,5,0,2,1.7053699770040112,None,,,,0,5,5,12,,,,,11.252449725005135,,,,,,,,,11.242584505002014,11.252449725005135,11.741146560001653,Pressure,11.752282569999807,11.760471384004632,11.760471384004632,11.760471384004632,11.760471384004632,13.468151269000373,2,1.7053699770040112,None,11.760471384004632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
cat,dog,lion,2,hard,6,6,0,None,,,,,,0,6,6,2,,,,,13.4736877020041,,,,,,,,,13.46832726100547,13.4736877020041,13.958157585002482,Pressure,13.96717087700381,13.974160375000793,13.974160375000793,13.974160375000793,13.974160375000793,15.966363122002804,None,,,13.974160375000793,15.98336275100155,15.98336275100155,15.98336275100155,15.98336275100155,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
bicycle,apple ,train,2,easy,7,7,0,None,,,,,,0,7,7,6,,,,,15.98336275100155,,,,,,,,,15.9667684330052,15.98336275100155,16.469877774005,Pressure,16.480690994001634,16.4880914220048,16.4880914220048,16.4880914220048,16.4880914220048,18.45789001400408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
sunflower,winter,rain,1,easy,8,8,0,1,0.7319654230013839,None,,,,0,8,8,9,,,,,18.466869415002293,,,,,,,,,18.45838331700361,18.466869415002293,18.950203703003353,Pressure,18.956948152001132,18.970669897003972,18.970669897003972,18.970669897003972,18.970669897003972,19.70940132400574,1,0.7319654230013839,None,18.962855619000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310537,001,2024-12-03_16h23.06.980,OddOneOut_Experiment,2024.2.1,None,2024-12-03 16h25.48.145374 +0530,
